"№ сертификата","Дата внесения в реестр","Срок действия сертификата","Наименование средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема сертификации","Испытательная лаборатория","Орган по сертификации","Заявитель","Реквизиты заявителя (индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"246/7","2007-08-13","2019-08-13","программно-аппаратный комплекс средств защиты информации от несанкционированного доступа «Аккорд-АМДЗ»","Соответствует требованиям документов: Требования к СДЗ, Профиль защиты СДЗ(платы расширения второго класса защиты. ИТ.СДЗ.ПР2.ПЗ)","серия","АО «БИТК»","ФСТЭК России","АО «ОКБ САПР»","115114, г. Москва, 2-й Кожевнический переулок, д. 12, эт. 2, пом. I, ком. 21, (495) 994-7262","2027-08-13"
"292/1/1","2018-04-11","2021-04-13","ОС MS Windows NT 4.0 Server","Соответствует требованиям документов: РД НДВ(3)","1","#Н/Д","АО Центр «Атомзащитаинформ»","ПАО «НЗКХ»","630110, г. Новосибирск, ул. Богдана Хмельницкого, д. 94, (383) 274-8132, 274-8346",""
"293/1/1","2018-04-11","2021-04-13","встроенные средства защиты ОС MS Windows NT 4.0 Workstation (Russian) с пакетом обновления Service Pack 5 (Russian)","Соответствует требованиям документов: ТЗИ НСД СУиК ЯМ-1997(3)","1","#Н/Д","АО Центр «Атомзащитаинформ»","ПАО «НЗКХ»","630110, г. Новосибирск, ул. Богдана Хмельницкого, д. 94, (383) 274-8132, 274-8346",""
"359/5","2006-05-03","2023-05-03","программно-аппаратный комплекс «Сервер безопасности DioNIS Security Server» с встроенным межсетевым экраном «DioNIS Firewall» (модификации «DioNIS TS/FW 16000», «DioNIS TS/FW 160FD», «DioNIS TS/FW 1600R, «DioNIS TS/FW 1600V»)","Соответствует требованиям документов: РД НДВ(2), РД СВТ(2)","6349","ООО НТЦ «Безопасность информационных технологий и систем»","ФСТЭК России","ООО «Фактор-ТС»","123290, г. Москва, 1-й Магистральный проезд, д. 11, стр. 1, эт. 5, пом. I, комн. 4, (495) 644-3130",""
"371","2000-10-16","2028-12-05","устройство защиты громкоговорителей «УЗГ»","Соответствует требованиям документов: Требования ТЗИ, ТУ","серия","АО «БИТК»","ООО «ЦБИ»","АО «РНТ»","129515, г. Москва, ул. 2-я Останкинская, дом 6, (495) 777-7577",""
"404","2000-12-19","2029-01-23","устройство блокирования несанкционированного включения микрофонов цифрового телефонного аппарата (УБМ-1)","Соответствует требованиям документов: ТУ","серия","ФГУ «12 ЦНИИ Минобороны России»","Гостехкомиссия России","АО «РНТ»","129515, г. Москва, ул. 2-я Останкинская, дом 6, (495) 777-7577",""
"428/8","2010-04-28","2019-04-28","программа фиксации и контроля исходного состояния программного комплекса «ФИКС» (версии 2.0)","Соответствует требованиям документов: РД НДВ(4)","1","ФГУП «НПП «Гамма»","","ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684",""
"604/2","2005-04-07","2020-04-07","абонентское устройство защиты информации «Гранит-8»","Соответствует требованиям документов: ТУ","серия","АО «Лаборатория ППШ»","ФСТЭК России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170","2026-04-07"
"640/14","2011-04-06","2020-04-06","система защиты информации «Secret Net 2000» версии 4.0 (автономный вариант) под управлением ОС MS Windows 2000","Соответствует требованиям документов: РД НДВ(3), РД СВТ(3), ТУ","5","ФГУП «ПО «Маяк»","","ФГУП «ПО «Маяк»","456784, Челябинская обл., г. Озерск, пр-т Ленина, д. 31, (35130) 2-5011",""
"640/120/1","2012-12-28","2018-12-28","система защиты информации «Secret Net 2000» версии 4.0 (автономный вариант) под управлением ОС MS Windows 2000","Соответствует требованиям документов: РД НДВ(3), РД СВТ(3), ТУ","31","#Н/Д","","УМВД России по Курской области","305000, г. Курск, ул. Серафима Саровского, д. 2, (4712) 36-8855",""
"643","2002-07-05","2020-10-31","система оценки защищенности выделенных помещений по виброакустическому каналу «ШЕПОТ»","Соответствует требованиям документов: НМД АРР-2000, ТУ","серия","ООО «ЦБИ»","Гостехкомиссия России","ООО «ЦБИ «МАСКОМ»","129090, г. Москва, вн.рер.г. муниципальный округ Красносельский, пер. Живарев, д. 8, стр. 3, помещ. 1/5, (495) 136-4010","бессрочно"
"644","2002-07-05","2019-01-31","программа управления системой «Шепот» и расчета параметров защищенности выделенных помещений по виброакустическому каналу «ШЕПОТ-ИНТЕРФЕЙС»","Соответствует требованиям документов: РД НДВ(3), ТУ","серия","ООО «ЦБИ»","Гостехкомиссия России","ООО «ЦБИ «МАСКОМ»","129090, г. Москва, вн.рер.г. муниципальный округ Красносельский, пер. Живарев, д. 8, стр. 3, помещ. 1/5, (495) 136-4010","бессрочно"
"651","2017-07-26","2020-08-01","фильтр сетевой помехоподавляющий ФСПК-40-220-99-УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","ЦКБИ ФГУП «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42","2034-12-31"
"662","2002-09-05","2021-01-20","программно-аппаратный комплекс «Shield Multi Service - FW»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ЗАО «НПП «БИТ»","Гостехкомиссия России","ООО «ЛИССИ-Софт»","141090, Московская обл., г. Королев, мкрн. Юбилейный, ул. Ленинская, д. 4, пом. 7, (495) 589-9953","2026-12-31"
"677/1","2012-05-05","2023-05-05","программный пакет для разработки приложений, реализующих функции обеспечения целостности информации «ФИКС-библиотека 1.0»","Соответствует требованиям документов: РД НДВ(2)","1","ЗАО «НПП «БИТ»","Гостехкомиссия России","АО «АЛТЭКС-СОФТ»","141067, Московская обл., г. Королев, мкр-н Болшево, ул. Маяковского, д. 10А, пом. VII, (495) 543-3101",""
"678/5","2010-04-28","2019-04-28","программа контроля состояния сертифицированных программных средств защиты информации» «ФИКС 3.0»","Соответствует требованиям документов: РД НДВ(2)","1","ФГУП «НПП «Гамма»","","ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684",""
"680","2002-10-30","2026-02-26","программа фиксации и контроля целостности информации «ФИКС-UNIX 1.0»","Соответствует требованиям документов: Требования доверия(2)","серия","ЗАО «НПП «БИТ»","Гостехкомиссия России","АО «ЦБИ-сервис»","141090, Московская область, г.о. Королев, г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498","2030-12-31"
"708/5","2011-07-28","2020-07-28","программа «Ревизор-2 для Linux»","Соответствует требованиям документов: РД НДВ(3)","1","ЗАО «НПП «БИТ»","Гостехкомиссия России","АО «Красмаш»","660123, Красноярский край, г. Красноярск, пр-кт им. газеты «Красноярский рабочий», д. 29, (391) 264-66-01",""
"709/5","2011-07-28","2020-07-28","программа «Ревизор-1 для Linux»","Соответствует требованиям документов: РД НДВ(2)","1","ЗАО «НПП «БИТ»","Гостехкомиссия России","АО «Красмаш»","660123, Красноярский край, г. Красноярск, пр-кт им. газеты «Красноярский рабочий», д. 29, (391) 264-66-01",""
"710/30","2006-10-30","2018-10-30","программа поиска и гарантированного уничтожения на дисках «TERRIER»  (версия 2.0)","Соответствует требованиям документов: РД НДВ(2)","1","ЗАО «НПП «БИТ»","ФГУП «НПП «Гамма»","ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684",""
"837/64","2012-08-14","2018-08-14","система защиты информации от НСД «Страж NT» (версия 2.0)","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","4","#Н/Д","Гостехкомиссия России","Управление ФСКН России по Владимирской области","600000, г. Владимир, Октябрьский проспект, д. 22Б, (4922) 43-1400",""
"837/65","2012-08-14","2018-08-14","система защиты информации от НСД «Страж NT» (версия 2.0)","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","#Н/Д","Гостехкомиссия России","УМВД России по Курской области","305000, г. Курск, ул. Серафима Саровского, д. 2, (4712) 36-8855",""
"845/2","2007-05-16","2019-05-16","программа анализа защищенности TCP/IP «Ревизор Сети» версии 1.2.1.0","Соответствует требованиям документов: ТУ","1","ФГУП «НПП «Гамма»","","ФГУП «НПП «Гамма»","117393, г. Москва, ул. Профсоюзная, д. 78, стр. 4, (495) 514-0274, (495) 663-1684",""
"874","2004-04-01","2019-04-01","фильтр сетевой помехоподавляющий «ЛФС-10-1Ф»","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «Лаборатория ППШ»","Гостехкомиссия России","ООО «Ленспецпроизводство»","199178, г. Санкт-Петербург, наб. реки Смоленки, д. 25, лит. Е, оф. 134, (812) 309-6170","2027-04-01"
"894/1","2005-08-01","2020-08-01","унифицированные программные средства организации, контроля и управления вычислительным процессом в неоднородных вычислительных сетях «ИВК ЮПИТЕР», версии 5.0, (шифр изделия - ЛНКВ.12736-05)","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","серия","АО «ЦБИ-сервис»","ФСТЭК России","АО «ИВК»","129110, г. Москва, ул. Гиляровского, д. 57, стр. 1, комн. 73, (495) 221-6580",""
"895/88","2013-04-18","2019-04-18","система защиты информации «Secret Net» версии 4.0 (автономный вариант для Windows 9X)","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","ЗАО «ГОСТА»","Гостехкомиссия России","ОАО «Ижевский мотозавод «Аксион-холдинг»","426000, г. Ижевск, ул. Максима Горького, д. 90, (3412) 60-2170",""
"896/1","2004-05-06","2019-05-11","система защиты информации от несанкционированного доступа «Dallas Lock 7.0»","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","АО «ИРЗ»","Гостехкомиссия России","Администрация муниципального образования «Шарканский район»","427070, Удмуртская Республика, с. Шаркан, ул. Ленина, д. 14, (34136) 3-3869","2020-12-31"
"896/2","2004-05-06","2019-05-11","система защиты информации от несанкционированного доступа «Dallas Lock 7.0»","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","1","АО «ИРЗ»","Гостехкомиссия России","АО «Ижевский механический завод»","426063, г. Ижевск, ул. Промышленная, д. 8, (3412) 68-9663","2020-12-31"
"896/3","2004-05-06","2019-05-11","система защиты информации от несанкционированного доступа «Dallas Lock 7.0»","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","3","ООО «Бурятское производственное предприятие «Конус», ЗАО «Специальное агентство «Омега»","Гостехкомиссия России","Администрация Главы Республики Бурятия и Правительства Республики Бурятия","670000, Республика Бурятия, г. Улан-Удэ, ул. Ленина, д. 54, (3012) 21-7689","2020-12-31"
"896/4","2004-05-06","2019-05-11","система защиты информации от несанкционированного доступа «Dallas Lock 7.0»","Соответствует требованиям документов: РД НДВ(3), РД СВТ(4)","1","ООО по защите информации «Секрет-Сервис»","Гостехкомиссия России","Управление архитектуры и градостроительства администрации Ангарского городского округа Иркутской области","665830, Иркутская обл., г. Ангарск, ул. Ворошилова, д. 15, (3955) 52-6400","2020-12-31"
"906","2004-05-18","2019-05-30","защищенная операционная система реального времени «QNX»","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","серия","АО «ЦБИ-сервис»","Гостехкомиссия России","ООО «СВД Встраиваемые системы»","196066, г. Санкт-Петербург, Московский проспект, д. 212, (812) 346-8956","бессрочно"
"907/34","2013-06-04","2019-06-04","программно-аппаратный комплекс «Соболь» УВАЛ.00300-58","Соответствует требованиям документов: РД НДВ(3)","30","ООО «ИТС»","","Аппарат Правительства Мурманской области","183006, г. Мурманск, пр. Ленина, д. 75, (8152) 48-6259",""
"913/1","2004-05-28","2019-06-01","программа фиксации и контроля исходного состояния программного комплекса «ФИКС» (версия 2.0.1)","Соответствует требованиям документов: РД НДВ(3)","1","Управление ФСКН России по Свердловской области","Гостехкомиссия России","Управление ФСКН России по Свердловской области","620142, г. Екатеринбург, ул. Степана Разина, д. 31, (343) 251-82-12","2024-06-01"
"951","2004-10-12","2019-10-12","интегрированная информационная система «Кварта» (защищенный вариант)","Соответствует требованиям документов: РД НДВ(4), РД СВТ(5), ТУ","серия","АО «БИТК»","Гостехкомиссия России","ООО «КВАРТА ВК»","109240, г. Москва, вн. тер.г. муниципальный округ Таганский,  наб. Москворецкая, д. 9, стр. 1, помещ./эт. 3/0/2, помещ./ком. III;IV/1-8, 8А, 9-18, 18А, 19-21, 5, 8, (495) 926-5423","2025-12-31"
"971/2","2004-12-10","2019-01-18","программа расчета показателей защищенности конфиденциальной информации объектов вычислительной техники от утечки по техническим каналам «Гроза-К», версия 1.0","Соответствует требованиям документов: Временная методика КИ ОТСС-ВТСС, Временная методика КИ по линиям связи, ТУ","1","УМВД России по Приморскому краю","ФСТЭК России","УМВД России по Приморскому краю","690091, Приморский край, г. Владивосток, ул. Алеутская, д. 44, (4232) 21-4147, (4232) 49-0208","2022-01-18"
"989","2005-02-08","2030-02-08","средство создания модели системы разграничения доступа «Ревизор 1 ХР»","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","ЗАО «КЛИО»","ФСТЭК России","АО «ЦБИ-сервис»","141090, Московская область, г.о. Королев, г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498",""
"990","2005-02-08","2030-02-08","программа контроля полномочий доступа к информационным ресурсам «Ревизор-2 ХР»","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","ЗАО «КЛИО»","ФСТЭК России","АО «ЦБИ-сервис»","141090, Московская область, г.о. Королев, г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498",""
"1002/1","2010-12-21","2019-12-21","специальное программное обеспечение «АС «ГРИФ»","Соответствует требованиям документов: РД НДВ(3), ТУ","3","АО «РНТ»","ФСТЭК России","АО «Рособоронэкспорт»","107076, г. Москва, ул. Стромынка, д. 27, (495) 785-8301",""
"1004","2014-04-28","2020-04-28","МП-8","Соответствует требованиям документов: ТУ","серия","АО «БИТК»","ФСТЭК России","ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159","2030-12-31"
"1051","2005-07-11","2020-07-11","МП-7","Соответствует требованиям документов: ТУ","серия","ЗАО «НПП «БИТ»","ФСТЭК России","ООО «Реном»","125438, г. Москва, ул. Автомоторная, д. 7, (495) 454-1159","2030-12-31"
"1090/3","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","ООО «ЦБИ»","ФСТЭК России","Управление ФСКН России по Владимирской области","600000, г. Владимир, Октябрьский проспект, д. 22Б, (4922) 43-1400",""
"1090/4","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","3","АО «ЦБИ-сервис»","ФСТЭК России","АО «БСКБ «Восток»","656002, Алтайский край, г. Барнаул, проспект Калинина, д. 15б, (3852) 50-36-11",""
"1090/5","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","9","ООО «ЦБИ»","ФСТЭК России","Юго-Восточная железная дорога – филиал ОАО «РЖД»","394036, г. Воронеж, пр. Революции, д. 18, (473) 265-6329, 265-4915",""
"1090/6","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","АО «ЦБИ-сервис»","ФСТЭК России","Выборгская таможня","188800, Ленинградская обл., г. Выборг, ул. Железнодорожная, д. 9/15, (81378) 5-9228",""
"1090/7","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","7","ООО «ЦБИ»","ФСТЭК России","ГОРЬК ж.д. ОАО «РЖД»","603011, г. Нижний Новгород, ул. Октябрьской Революции, дом 78, (831) 248-4400",""
"1090/8","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «ЦБИ»","ФСТЭК России","АО «Федеральный научно-производственный центр «Алтай»","659322, Алтайский край, г. Бийск, Социалистическая ул., д. 1, (3854) 30-5848",""
"1090/9","2007-02-14","2019-02-14","система защиты информации от несанкционированного доступа Щит-РЖД","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","ООО «ЦБИ»","ФСТЭК России","АО «Научно-исследовательский центр электронной вычислительной техники»","117587, г. Москва, Варшавское шоссе, д. 125, (495) 319-6067",""
"1126","2006-01-16","2021-01-16","средство сбора информации о программном и аппаратном обеспечении «Агент инвентаризации»","Соответствует требованиям документов: РД НДВ(3), ТУ","серия","ЗАО «КЛИО»","ФСТЭК России","АО «ЦБИ-сервис»","141090, Московская область, г.о. Королев, г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, помещение XVII, (495) 510-4498","2030-12-31"
"1161/3","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","АО «БИТК»","ФСТЭК России","АО «ПО «УОМЗ»","620100, Свердловская обл., г. Екатеринбург, ул. Восточная, д. 33Б, (3432) 29-88-78, 54-81-09","2021-03-31"
"1161/12","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","АО «БИТК»","ФСТЭК России","ГУ МВД России по Воронежской области","394018, г. Воронеж, ул. Володарского, д. 39, (4732) 51-1405, (473) 251-1600","2021-03-31"
"1161/13","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","13","АО «БИТК»","ФСТЭК России","УМВД России по Омской области","644099, г. Омск, ул. Ленина, д. 2, (3812) 79-38-67","2021-03-31"
"1161/20","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","76","АО «БИТК»","ФСТЭК России","ФКУ «ГЦСиЗИ МВД России»","119049, г. Москва, ул. Житная, дом 16, (495) 667-6636","2021-03-31"
"1161/21","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","АО «БИТК»","ФСТЭК России","УМВД России по Мурманской области","183038, г. Мурманск, проспект Ленина, д. 64","2021-03-31"
"1161/35","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","8","АО «БИТК»","ФСТЭК России","ФКУ «ГЦСиЗИ МВД России»","119049, г. Москва, ул. Житная, дом 16, (495) 667-6636","2021-03-31"
"1161/37","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","АО «БИТК»","ФСТЭК России","УТ МВД России по УрФО","620107, г. Екатеринбург, ул. Вокзальная, д. 21, 8(343) 372-84-85, 372-60-03","2021-03-31"
"1161/41","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","АО «БИТК»","ФСТЭК России","ФГКОУ ВО «Омская академия МВД России»","644092, г. Омск, пр. Комарова, д. 7, (3812) 75-0180","2021-03-31"
"1161/42","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","24","АО «БИТК»","ФСТЭК России","УМВД России по Курской области","305000, г. Курск, ул. Серафима Саровского, д. 2, (4712) 36-8855","2021-03-31"
"1161/44","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","1","АО «БИТК»","ФСТЭК России","МВД по Республике Мордовия","430000, г. Саранск, ул. Коммунистическая, д. 75","2021-03-31"
"1161/46","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","31","АО «БИТК»","ФСТЭК России","УМВД России по Пензенской области","440008, г. Пенза, ул. Пушкина, д. 159, 8 (8412) 635051","2021-03-31"
"1161/49","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","5","АО «БИТК»","ФСТЭК России","ГУ МВД России по Иркутской области","664003, г. Иркутск, ул. Литвинова, дом 15, (3952) 21-21-21, ф. 21-21-24","2021-03-31"
"1161/54","2006-03-31","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","38","АО «БИТК»","ФСТЭК России","ФКУ «ГИАЦ МВД России»","117418, г. Москва, ул. Новочеремушкинская, д. 67, (495) 332-31-77","2021-03-31"
"1161/59","2015-10-07","2021-03-31","комплекс средств защиты информации от несанкционированного доступа «Аккорд-NT/2000», v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","14","АО «БИТК»","ФСТЭК России","ГУ МВД России по Новосибирской области","630099, г. Новосибирск, ул. Октябрьская, д. 78, (383) 232-7337","2021-03-31"
"1161/64","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","АО «БИТК»","ФСТЭК России","МВД по Чувашской Республике","428000, г. Чебоксары, ул. К.Маркса, д. 41, (8352) 241-650, 241-155","2021-03-31"
"1161/73","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","34","АО «БИТК»","ФСТЭК России","ГУ МВД России по Ставропольскому краю","355035,  Ставропольский край, г. Ставрополь, ул. Дзержинского, дом 102, (8652) 30-41-41","2021-03-31"
"1161/81","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","АО «БИТК»","ФСТЭК России","МВД по Республике Марий Эл","424000, Республика Марий Эл, г. Йошкар-Ола, ул. Комсомольская, дом 139, (8362) 68-03-41","2021-03-31"
"1161/82","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","2","АО «БИТК»","ФСТЭК России","МВД по Чувашской Республике","428000, г. Чебоксары, ул. К.Маркса, д. 41, (8352) 241-650, 241-155","2021-03-31"
"1161/84","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","7","АО «БИТК»","ФСТЭК России","АО «Научно-производственная корпорация «Уралвагонзавод» имени Ф.Э. Дзержинского»","622007, Свердловская обл., г. Нижний Тагил, Восточное шоссе, д. 28, (83435) 34-5093","2021-03-31"
"1161/85","2006-03-31","2021-03-31","комплекс СЗИ НСД «Аккорд-NT/2000» v.3.0","Соответствует требованиям документов: РД НДВ(2), РД СВТ(3)","10","АО «БИТК»","ФСТЭК России","МВД по Чувашской Республике","428000, г. Чебоксары, ул. К.Маркса, д. 41, (8352) 241-650, 241-155","2021-03-31"
